Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses
332,0,0,0,4,0,0,40960,9,0,5,1048576,0,43928,0
332,28,4768,6,6,96144,166,4096,9,0,4,262144,448,4048,0
332,56,49152,0,4,0,0,8192,48,0,3,1048576,34144,1440,0
332,0,0,5,9,364544,231,0,8,0,8,0,0,16940,0
332,0,0,0,5,0,0,12288,9,0,3,1048576,32768,0,0
332,56,725372,0,5,0,0,0,11,0,4,0,34112,1152,0
332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0
34404,84,1922192,10,10,2497552,168,1794056,14,10,7,262144,16736,17248,0
332,0,0,0,5,0,0,0,0,0,6,1048576,0,12288,0
332,0,0,0,4,0,0,8192,11,0,3,1048576,34112,1368,0
34404,28,7808,6,6,7728,80,0,9,0,3,262144,320,1072,0
332,84,6272,10,10,51696,1882,61440,14,10,6,262144,16704,1208,0
332,0,0,0,4,0,0,282076,2,50,9,1048576,0,20568,0
34404,28,102928,0,6,105824,76,102400,14,0,7,1048576,352,992,0
332,84,7956,10,6,4360,84,12288,12,10,5,1048576,16704,1120,0
